id	contentType	sourceRef	partNo	chapterNo	sectionNo	topicNo	parenNo	bracketNo	itemNo	title	answer	level	examYears	requiredKeywords	optionalKeywords	tags	isActive	checkStatus
p01-c01-011	STANDARD	감사기준서 315-A129	1	1	3	1			1	경영진주장의 2가지 분류	(1) 감사대상기간의 거래 및 사건의 유형과 관련 공시\n(2) 보고기간말의 계정잔액 및 관련 공시	1		감사대상기간,거래 및 사건,관련 공시,보고기간말,계정잔액		1편;1장;경영진주장	TRUE	CONFIRMED
p01-c01-012	STANDARD	감사기준서 315-A129	1	1	3	1			2	감사대상기간의 거래 및 사건의 유형에 대한 경영진주장	① 발생사실: 기록된 거래와 사건은 발생되었고 기업에 귀속된다.\n② 완전성: 기록되어야 하는 모든 거래와 사건은 기록되었으며 재무제표에 포함되어야 하는 모든 관련 공시는 재무제표에 포함되었다.\n③ 기간귀속: 거래와 사건은 해당 보고기간에 기록되었다.\n④ 분류: 거래와 사건은 적절한 계정으로 기록되었다.\n⑤ 정확성: 기록된 거래와 사건에 관련된 금액 및 기타 데이터는 적합하게 기록되었고 관련 공시는 적합하게 측정되고 기술되었다.\n⑥ 표시: 거래와 사건은 적합하게 합산되거나 세분화되고 명확하게 기술되었으며 관련 공시는 해당 재무보고체계의 요구사항의 측면에서 관련성이 있으며 이해가능하다.	1		발생사실,완전성,기간귀속,분류,정확성	표시,관련 공시	1편;1장;경영진주장	TRUE	CONFIRMED
p01-c01-013	STANDARD	감사기준서 315-A129	1	1	3	1			3	보고기간말 계정잔액에 대한 경영진주장	① 실재성: 자산·부채 및 주주지분은 실재한다.\n② 완전성: 기록되어야 하는 자산, 부채 및 주주지분은 모두 기록되었으며 재무제표에 포함되어야 하는 모든 관련 공시는 재무제표에 포함되었다.\n③ 권리와 의무: 기업은 자산에 대한 권리를 보유하거나 통제하고 있으며 부채는 기업의 의무이다.\n④ 분류: 자산, 부채 및 주주지분은 적절한 계정으로 기록되었다.\n⑤ 정확성, 평가와 배분: 자산, 부채 및 주주지분은 적합한 금액으로 재무제표에 계상되어 있고, 평가나 배분의 결과는 적합하게 기록되어 있으며, 관련 공시는 적합하게 측정되고 기술되어 있다.\n⑥ 표시: 자산, 부채 및 주주지분은 적합하게 합산되거나 세분화되고 명확하게 기술되었으며 관련 공시는 해당 재무보고체계의 요구사항의 측면에서 관련성이 있으며 이해가능하다.	1		실재성,완전성,권리와 의무,분류,정확성,평가와 배분	표시,관련 공시	1편;1장;경영진주장	TRUE	CONFIRMED
p01-c01-014	STANDARD	감사기준서 200-13	1	1	3	2			1	공정표시 재무보고체계가 준수 재무보고체계와 구분되는 특징	1) 재무제표의 공정한 표시를 달성하기 위하여 경영진이 해당 체계가 특정하여 요구하는 범위 이상으로 공시하는 것이 필요할 수 있다고 명시적이거나 묵시적으로 인정된다.\n2) 재무제표의 공정한 표시를 달성하기 위하여 경영진이 해당 체계의 요구사항에서 이탈하는 것이 필요할 수 있다고 명시적으로 인정된다.	5		공정표시,준수,범위 이상 공시,명시적 인정	묵시적 인정,요구사항 이탈	1편;1장;재무보고체계	TRUE	CONFIRMED
p01-c01-015	STANDARD	감사기준서 200-A54	1	1	3	3	1		1	감사인이 회계감사기준에 따라 감사를 수행했는지 여부를 판단할 때의 결정기준	① 각 상황에서 감사인이 수행한 감사절차(감사절차의 적절성)\n② 그 결과 입수된 감사증거의 충분성과 적합성\n③ 감사인의 전반적인 목적에 비추어 해당 감사증거에 대한 평가를 기초로 한 감사보고서의 적합성(감사증거와 감사보고서의 일관성)	3		감사절차의 적절성,감사증거의 충분성,감사증거의 적합성,전반적인 목적,감사보고서의 적합성	일관성	1편;1장;회계감사기준	TRUE	CONFIRMED
p01-c01-016	STANDARD	감사기준서 200-22	1	1	3	3	1		2	개별 감사기준서의 요구사항을 준수하지 않아도 되는 상황	개별 감사기준서의 요구사항을 준수하지 않아도 되는 상황(관련성이 없는 경우)\n아래의 200-23을 전제로 하여, 감사인은 다음 중 하나에 해당되는 감사상황을 제외하고는, 개별 감사기준서의 요구사항을 모두 준수하여야 한다.\n① 개별 감사기준서 전체가 관련이 없는 경우 또는,\n② 요구사항이 조건부인데 해당 조건이 존재하지 않아 그 요구사항이 관련이 없는 경우	5		개별 감사기준서,관련성 없음,조건부 요구사항,조건의 부존재	요구사항 준수	1편;1장;회계감사기준	TRUE	CONFIRMED
p01-c01-017	STANDARD	감사기준서 200-23	1	1	3	3	1		3	관련 요구사항을 이탈할 필요가 있는 경우	관련 요구사항을 이탈할 필요가 있는 경우(관련성이 있는 경우)\n예외적 상황에서, 감사인은 어떤 감사기준서의 관련 요구사항을 이탈할 필요가 있다고 판단할 수 있다. 이러한 상황에서 감사인은 해당 요구사항의 목적을 달성하기 위한 대체적 감사절차를 수행하여야 한다.\n관련 요구사항을 이탈할 필요성이란, 1) 요구사항이 특정의 절차를 수행하는 것이고, 2) 구체적인 감사상황에서 이러한 절차가 해당 요구사항의 목적을 달성하는 데 비효과적(비효율적 ×)일 경우에만 발생될 것으로 예상된다.	3		예외적 상황,관련 요구사항 이탈,대체적 감사절차,요구사항의 목적	특정 절차,비효과적,비효율적 아님	1편;1장;회계감사기준	TRUE	CONFIRMED
p01-c01-018	STANDARD	감사기준서 230-12	1	1	3	3	1		4	예외적인 상황에서 요구사항을 이탈한 경우 문서화해야 하는 사항 2가지	① 이탈의 이유(회계감사기준에서 요구한 절차가 해당 상황에서 효과적이지 않는 이유)\n② 수행한 대체적 감사절차가 그 감사목적을 어떻게 달성하였는지	3		문서화,이탈의 이유,대체적 감사절차,감사목적 달성		1편;1장;문서화	TRUE	CONFIRMED
p01-c01-019	STANDARD	감사기준서 200-A18	1	1	3	3	2		1	전문가적 의구심이 필요한 상황	전문가적 의구심이 필요한 상황(왜곡표시 가능성 상황)\n① 이미 입수한 다른 감사증거와 상반되는 감사증거\n② 감사증거로 사용될 문서 및 질의에 대한 답변의 신뢰성에 의문을 갖게 하는 정보\n③ 부정의 존재 가능성을 나타내는 것일 수 있는 상황\n④ 감사기준에서 요구하는 절차 외에 추가적인 감사절차의 필요성을 시사하는 상황	3		상반되는 감사증거,문서의 신뢰성,질의 답변의 신뢰성,부정의 존재 가능성	추가적인 감사절차	1편;1장;전문가적의구심	TRUE	CONFIRMED
p01-c01-020	STANDARD	감사기준서 200-A19	1	1	3	3	2		2	전문가적 의구심의 유지를 통해서 감소시킬 수 있는 위험	전문가적 의구심의 유지를 통해서 감소시킬 수 있는 위험(전문가적 의구심의 필요성)\n① 비경상적 상황을 간과할 위험\n② 감사절차의 성격, 시기 및 범위를 결정하고 그 결과를 평가할 때 부적합한 가정을 이용할 위험\n③ 감사상 관찰결과에서 결론을 도출할 때 과도하게 일반화할 위험	3		비경상적 상황,간과할 위험,부적합한 가정,감사절차의 성격,시기	범위,과도하게 일반화	1편;1장;전문가적의구심	TRUE	CONFIRMED
p01-c01-021	STANDARD		1	1	3	4	1		1	감사의견이 변형되는 경우	1) 충분하고 적합한 감사증거를 입수하지 못한 경우(감사범위의 제한): 한정의견 또는 의견거절\n2) 재무제표의 왜곡표시: 한정의견 또는 부적정의견	1		충분하고 적합한 감사증거,감사범위의 제한,왜곡표시,한정의견,의견거절	부적정의견	1편;1장;감사의견	TRUE	NEEDS_CHECK
p01-c01-022	STANDARD		1	1	3	4	2		1	상장법인의 적정의견 감사보고서 : 표준감사보고서	상장법인의 적정의견 감사보고서: 표준감사보고서\n독립된 감사인의 감사보고서\nA(주) 주주 및 이사회 귀중\n\n감사의견\n우리는 A(주)식회사(이하 "회사")의 재무제표를 감사하였습니다. 해당 재무제표는 20X1년 12월 31일 현재의 재무상태표, 동일로 종료되는 보고기간의 포괄손익계산서, 자본변동표, 현금흐름표 그리고 유의적인 회계정책의 요약을 포함한 재무제표의 주석으로 구성되어 있습니다.\n우리의 의견으로는 별첨된 회사의 재무제표는 회사의 20X1년 12월 31일 현재의 재무상태와 동일로 종료되는 보고기간의 재무성과 및 현금흐름을 한국채택국제회계기준에 따라, 중요성의 관점에서 공정하게 표시하고 있습니다.\n\n감사의견근거\n우리는 감사기준에 따라 감사를 수행하였습니다. 이 기준에 따른 우리의 책임은 이 감사보고서의 재무제표감사에 대한 감사인의 책임 단락에 기술되어 있습니다. 우리는 재무제표감사와 관련된 국제윤리기준과 함께 대한민국의 윤리적 요구사항에 따라 회사로부터 독립적이며 그러한 요구사항과 국제윤리기준에 따른 기타의 윤리적 책임들을 이행하였습니다. 우리가 입수한 감사증거가 감사의견을 위한 근거로서 충분하고 적합하다고 우리는 믿습니다.\n\n핵심감사사항(상장법인만 기재)\n핵심감사사항은 우리의 전문가적 판단에 따라 당기 재무제표감사에서 가장 유의적인 사항들입니다. 해당 사항들은 재무제표 전체에 대한 감사의 관점에서 우리의 의견형성 시 다루어졌으며, 우리는 이런 사항에 대하여 별도의 의견을 제공하지는 않습니다.\n[핵심감사사항 각각에 대하여 다음을 기술]\n- 핵심감사사항으로 결정한 이유\n- 핵심감사사항이 감사에서 다루어진 방법\n\n재무제표에 대한 경영진과 지배기구의 책임\n경영진은 한국채택국제회계기준에 따라 이 재무제표를 작성하고 공정하게 표시할 책임이 있으며, 부정이나 오류로 인한 중요한 왜곡표시가 없는 재무제표를 작성하는데 필요하다고 결정한 내부통제에 대해서도 책임이 있습니다.\n경영진은 재무제표를 작성할 때, 회사의 계속기업으로서의 존속능력을 평가하고 해당되는 경우 계속기업 관련 사항을 공시할 책임이 있습니다. 그리고 경영진이 기업을 청산하거나 영업을 중단할 의도가 없는 한 또는 그 외에는 다른 현실적인 대안이 없는 한, 회계의 계속기업전제의 사용에 대해서도 책임이 있습니다.\n지배기구는 회사의 재무보고 절차의 감시에 대한 책임이 있습니다.\n\n재무제표감사에 대한 감사인의 책임\n우리의 목적은 재무제표에 전체적으로 부정이나 오류로 인한 중요한 왜곡표시가 없는지에 대하여 합리적인 확신을 얻어 우리의 의견이 포함된 감사보고서를 발행하는데 있습니다. 합리적인 확신은 높은 수준의 확신을 의미하나 감사기준에 따라 수행된 감사가 항상 중요한 왜곡표시를 발견한다는 것을 보장하지는 않습니다. 왜곡표시는 부정이나 오류로부터 발생할 수 있으며 왜곡표시가 재무제표를 근거로 하는 이용자의 경제적 의사결정에 개별적으로 또는 집합적으로 영향을 미칠 것이 합리적으로 예상되면 그 왜곡표시는 중요하다고 간주됩니다.\n이 독립된 감사인의 감사보고서의 근거가 된 감사를 실시한 업무수행이사는 김길동입니다.(상장법인만 기재)\n서울특별시 강남구 삼성동 1번지\n한서회계법인\n대표이사 홍영린\n20X2년 2월 15일	1		독립된 감사인의 감사보고서,감사의견,감사의견근거,핵심감사사항,경영진과 지배기구의 책임,감사인의 책임	업무수행이사,감사보고서일	1편;1장;감사보고서	TRUE	NEEDS_CHECK
p01-c02-001	GENERAL		1	2	1	1	1		1	합리적 확신업무와 제한적 확신업무의 비교	1) 업무의 종류\n합리적 확신업무: 감사업무\n제한적 확신업무: 검토업무\n2) 독립성\n합리적 확신업무: 반드시 충족\n제한적 확신업무: 반드시 충족\n3) 확신의 수준\n합리적 확신업무: 높은 수준의 확신\n제한적 확신업무: 중간 수준의 확신\n4) 증거수집방법\n합리적 확신업무: 분석적절차, 질문, 검사, 재계산, 재수행, 관찰, 외부조회\n제한적 확신업무: 분석적절차, 질문 위주\n5) 확신의 형태\n합리적 확신업무: 적극적 확신(Positive Assurance), “~공정하게 표시하고 있습니다.”\n제한적 확신업무: 소극적 확신(Negative Assurance), “~공정하게 표시하지 않은 사항이 발견되지 아니하였습니다.”	1		감사업무,검토업무,독립성,높은 수준의 확신,중간 수준의 확신	적극적 확신,소극적 확신	1편;2장	TRUE	CONFIRMED
p01-c02-002	LAW	공인회계사법	1	2	1	2	1		1	공인회계사법상 회계법인의 설립 및 운영에 대한 주요 규정	① 공인회계사법에 정하지 않은 내용: 상법상 유한회사의 규정을 따름\n② 회계법인의 소속공인회계사(수습공인회계사 제외)의 수: 7인 이상\n③ 회계법인의 설립자본금: 최소 5억원 이상\n④ 내부에 사원총회(파트너 총회), 3인 이상의 이사(대표이사 포함)를 두어야 하며, 사원이 아닌 자는 이사가 될 수 없음	4		공인회계사법,유한회사,소속공인회계사,7인 이상,설립자본금	5억원 이상,사원총회,3인 이상의 이사	1편;2장;공인회계사법	TRUE	CONFIRMED
p01-c02-003	LAW	외부감사법 §31	1	2	2	1	1		1	외부감사법상 손해배상책임(민사적 책임)	1) 감사대상회사에 대한 손해배상책임\n책임사유: ① 감사인이 그 임무를 게을리하여, ② 회사에 손해를 발생하게 한 때\n감사인의 책임사유 입증책임자/면책: 감사대상회사(감사인의 임무 태만 입증)\n소멸시효: ① 해당 사실을 안 날~1년 이내 또는, ② 감사보고서의 제출일~8년 이내\n\n2) 제3자에 대한 손해배상책임\n책임사유: ① 감사인이 중요한 사항에 관하여 감사보고서에 적지 아니하거나 거짓으로 적음으로써, ② 이를 믿고 이용한, ③ 제3자에게 손해를 발생하게 한 때\n감사인의 책임사유 입증책임자/면책: 금융기관은 감사인의 임무태만을 입증하여야 하며, 기타 제3자는 감사인의 임무태만을 입증할 필요가 없고 감사인이 손해배상책임을 면하기 위하여 그 임무를 게을리하지 아니하였음을 증명하여야 함\n소멸시효: 좌동\n\n연대책임: 감사인이 회사 또는 제3자에게 손해를 배상할 책임이 있는 경우에 해당 회사의 이사 또는 감사(위원회)도 그 책임이 있으면 그 감사인과 해당 회사의 이사 및 감사는 연대하여 손해를 배상하여야 함\n비례책임: 손해를 배상할 책임이 있는 자가 고의가 없는 경우에 그 자는 법원이 귀책사유에 따라 정하는 책임비율에 따라 손해를 배상할 책임이 있음	2		외부감사법,손해배상책임,감사대상회사,제3자,책임사유,입증책임,면책	소멸시효,연대책임,비례책임	1편;2장;외부감사법	TRUE	NEEDS_CHECK
p01-c02-004	LAW	자본시장법 §170; 민법 §750	1	2	2	1	2		1	자본시장법과 민법상 감사인의 손해배상책임 규정	자본시장법\n1) 책임사유: 외부감사법 제31조 제2항부터 제9항까지의 규정은 선의의 투자자가 사업보고서 등에 첨부된 회계감사인의 감사보고서를 신뢰하여 손해를 입은 경우 그 회계감사인의 손해배상책임에 관하여 준용한다(170조).\n2) 소멸시효: ① 해당 사실을 안 날~1년 이내 또는, ② 감사보고서의 제출일~8년 이내(외부감사법 준용)\n\n민법\n1) 책임사유: 고의 또는 과실로 인한 위법행위로 타인에게 손해를 가한 자는 그 손해를 배상할 책임이 있다(750조).\n2) 소멸시효: ① 해당 사실을 안 날~3년 이내, ② 불법행위를 한 날~10년 이내	5		자본시장법,민법,외부감사법 준용,선의의 투자자	감사보고서,고의,과실,위법행위,소멸시효	1편;2장;자본시장법;민법	TRUE	CONFIRMED
p01-c02-005	LAW	증권관련 집단소송제도	1	2	2	1	3		1	증권집단소송제도의 긍정적 효과와 부정적 효과	긍정적 효과\n① 손해배상액이 크므로 분식회계 등의 예방효과가 커진다.\n② 개별 소송의 중복을 피해 소송의 효율성이 높아진다.\n③ 소액피해자도 별도의 소송 없이 구제가 가능하다.\n\n부정적 효과\n불필요한 소송이 제기되고, 기업의 소송비용이 증가됨에 따라 기업의 경영이 위축될 수 있다.	5		증권집단소송제도,긍정적 효과,부정적 효과,분식회계 예방효과	소송의 효율성,소액피해자 구제,불필요한 소송,소송비용 증가	1편;2장;증권집단소송제도	TRUE	CONFIRMED
p01-c02-006	LAW	외부감사법; 공인회계사법	1	2	2	1	4		1	손해배상공동기금과 손해배상준비금의 비교	1) 관련 법률\n손해배상공동기금: 외부감사법\n손해배상준비금: 공인회계사법\n\n2) 형식\n손해배상공동기금: 외부에 기금 마련\n손해배상준비금: 내부에 이익잉여금의 처분\n\n3) 구체적 내용\n손해배상공동기금: 한국공인회계사회에 기본적립금과 연간적립금을 적립\n손해배상준비금: 회계상으로 연도별 매출액의 2%에 해당하는 금액을 손해배상준비금으로 적립\n\n손해배상공동기금처럼 외부에 기금을 마련하는 것은 아니지만 손해배상준비금을 적립하게 되면 배당한도(이익잉여금)의 감소로 배당이 제한되어 회계법인 내부에 현금이 유보되기 때문임	3		손해배상공동기금,손해배상준비금,외부감사법,공인회계사법,기본적립금	연간적립금,매출액의 2%,이익잉여금	1편;2장;손해배상책임	TRUE	CONFIRMED
p01-c02-007	LAW	외부감사법	1	2	2	2			1	외부감사법상 형사적 책임	① 감사보고서를 제출하지 않는 경우\n② 비밀을 누설하거나 부당한 목적을 위하여 이용한 경우\n③ 주주총회에 출석하여 거짓으로 진술하거나 사실을 감춘 경우\n④ 이사의 부정행위 등을 보고하지 않는 경우 등	5		감사보고서 미제출,비밀 누설,부당한 목적	주주총회,거짓 진술,사실 은폐,이사의 부정행위 보고	1편;2장;외부감사법	TRUE	CONFIRMED
p01-c02-008	LAW	공인회계사법	1	2	2	2			2	공인회계사법상 형사적 책임	① 사무소의 2개 이상 설치금지\n② 명의대여의 금지 등	5		공인회계사법상 형사적 책임,사무소 2개 이상 설치금지,명의대여 금지		1편;2장;공인회계사법	TRUE	CONFIRMED
p01-c02-009	ETHIC	윤리기준 100.2	1	2	3	1			1	공인회계사윤리기준의 목적	이 윤리기준은 공인회계사 시험에 합격하여 공인회계사법 제7조의 규정에 의하여 등록한 공인회계사가 전문직업인으로서 준수하여야 할 윤리기준을 정함으로써, 공인회계사로 하여금 그 직무를 높은 수준으로 수행하게 하고 공익에 부합되게 하여, 공인회계사에 대한 사회적 신뢰를 제고함을 목적으로 한다.	3		공인회계사,윤리기준,전문직업인,높은 수준으로 수행,공익에 부합	사회적 신뢰 제고	1편;2장;윤리기준	TRUE	CONFIRMED
p01-c02-010	ETHIC	윤리기준 	1	2	3	1	1		1	공인회계사윤리기준의 구성	제1부 일반사항\n제2부 개업공인회계사\n제3부 비개업공인회계사	3		윤리기준의 구성,제1부 일반사항,제2부 개업공인회계사,제3부 비개업공인회계사		1편;2장;윤리기준	TRUE	CONFIRMED
p01-c02-011	ETHIC	윤리기준 100.4	1	2	3	1	2		1	공인회계사의 윤리강령	① 성실: 공인회계사는 직무를 수행함에 있어서 솔직하고 정직해야 하며, 그 내용이 중대하게 잘못된 정보 등이 있는 보고서에 자신의 명칭이 사용되는 것을 허용하지 말아야 한다.\n② 공정: 공인회계사는 직무를 수행함에 있어 편견이나 이해의 상충 또는 외부의 부당한 영향을 받아서는 안 된다.\n③ 비밀유지: 공인회계사는 직무수행과정에서 지득한 정보에 대한 비밀을 지켜야 하며, 법적 또는 직업적으로 공개할 권리나 의무가 없는 경우에 적절하고 명확한 승인 없이 어떠한 정보도 제3자에게 누설해서는 안 된다.\n④ 전문가적 적격성과 정당한 주의: 공인회계사는 의뢰인이나 자신이 소속하고 있는 조직이 최신의 업무, 법규 및 기술에 입각하여 적격성을 갖춘 전문서비스를 제공받을 수 있도록 전문적 지식과 기법(기술)을 지속적으로 유지해야 한다. 또한 공인회계사는 직무를 수행함에 있어 정당한 주의를 기울여야 하며, 관련 기술적 또는 전문적 기준을 준수해야 한다. 정당한 주의란, 맡은 업무의 요구조건에 따라, 철저하고도 신중하며 적시에 업무를 수행할 책임을 포함한다.\n⑤ 전문가적 품위: 공인회계사는 관련 법규를 준수해야 하며 공인회계사의 품위를 실추시키는 행동을 삼가야 한다(부당한 광고의 금지).	1		성실,공정,비밀유지,전문가적 적격성과 정당한 주의,전문가적 품위,솔직,정직	편견,이해의 상충,비밀,전문적 지식과 기법,정당한 주의,관련 법규	1편;2장;윤리기준	TRUE	CONFIRMED
p01-c02-012	ETHIC	윤리기준 100.10	1	2	3	1	3		1	위협의 5가지 종류	1) 이기적 위협: 공인회계사 본인, 그의 직계가족 또는 측근가족이 재무적 또는 기타 이해관계가 있는 경우\n2) 유착위협: 공인회계사가 밀접한 관계로 인하여 타인의 이익에 지나치게 동정적이 되는 경우\n3) 자기검토위협: 공인회계사가 과거에 본인이 판단한 사항에 대하여 검토를 수행하는 경우\n4) 변호위협: 공인회계사가 공정성이 손상될 수 있을 정도로 어떤 입장이나 의견을 옹호하는 경우\n5) 압력위협: 공인회계사가 현실적 또는 잠재적인 협박의 가능성 때문에 공정하지 못하게 되는 경우	1		이기적 위협,유착위협,자기검토위협,변호위협,압력위협,재무적 이해관계,밀접한 관계	과거 판단,입장이나 의견 옹호,협박 가능성	1편;2장;윤리기준	TRUE	CONFIRMED
